TEAM;DIV;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;PT;RB;AS;ST;BS;2P%;3P%;FG%;FT%;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS/TO;EFG%;TOV%;ORB%;FT-RATE;OPP EFG%;OPP TOV%;OPP ORB%;OPP FT-RATE
Alba Berlin;6;1200;445;160;58;218;98;68;12;143;122;448;200;74.2;26.7;9.7;36.3;16.3;11.3;2.0;23.8;20.3;74.7;122.0;250;49;33.0;110;30;155.0;360;43;102.0;147;69;76.0;33.2;15.7;14.2;3.5;47.1;27.4;38.1;67.4;3.0;82;14.0;52.5;90.1;92.3;-2.2;53.1;0.9;0.7;47.6;25.5;30.7;28.3;44.3;19.6;29.8;23.3;
Baskets Juniors Oldenburg;8;1600;587;170;90;260;114;83;32;168;199;582;200;73.4;21.3;11.3;32.5;14.3;10.4;4.0;21.0;24.9;72.8;155.0;291;53;52.0;175;30;207.0;466;44;121.0;188;64;72.4;32.8;11.9;9.6;3.4;51.3;25.9;39.8;60.8;5.0;77;15.0;55.8;95.7;94.4;1.3;54.2;1.0;0.7;50.0;23.7;36.4;26.0;45.7;22.2;38.2;28.6;
Baskets Paderborn;3;600;206;61;21;82;44;44;9;57;63;177;200;68.7;20.3;7.0;27.3;14.7;14.7;3.0;19.0;21.0;59.0;52.0;113;46;24.0;89;27;76.0;202;38;30.0;55;55;79.3;45.7;19.3;11.7;1.7;51.9;30.5;45.3;65.7;1.0;85;11.7;34.0;80.5;93.1;-12.5;46.0;0.8;0.8;43.6;20.3;17.6;14.9;50.0;25.9;39.0;24.0;
Bayer Giants Leverkusen;6;1200;440;127;77;204;76;64;22;115;140;399;200;73.3;21.2;12.8;34.0;12.7;10.7;3.7;19.2;23.3;66.5;125.0;256;49;33.0;136;24;158.0;392;40;91.0;149;61;72.0;34.5;15.5;8.5;4.8;48.6;29.6;41.2;58.2;3.0;80;13.6;48.8;91.8;90.2;1.7;48.7;0.9;0.7;44.5;20.3;36.0;23.2;47.0;24.5;35.5;25.4;
Berlin Braves Baskets;3;600;218;59;24;83;41;30;11;64;51;209;200;72.7;19.7;8.0;27.7;13.7;10.0;3.7;21.3;17.0;69.7;60.0;117;51;16.0;51;31;76.0;168;45;50.0;68;74;80.3;37.0;13.7;15.0;2.3;52.2;31.5;42.9;78.3;1.0;78;14.6;45.4;93.2;103.1;-9.8;55.8;0.9;0.6;50.0;24.7;26.1;29.8;50.0;21.7;42.2;17.6;
Eintracht Frankfurt;2;400;136;38;21;59;20;14;4;26;42;116;200;68.0;19.0;10.5;29.5;10.0;7.0;2.0;13.0;21.0;58.0;37.0;72;51;13.0;53;25;50.0;125;40;23.0;39;59;81.0;32.0;9.5;4.5;2.0;50.6;37.0;45.5;75.0;0.0;71;13.7;36.9;96.2;114.5;-18.4;48.4;1.0;0.8;45.2;15.6;31.3;18.4;52.4;15.8;32.1;24.4;
FC Bayern München;5;1000;450;131;75;206;85;49;20;63;137;507;200;90.0;26.2;15.0;41.2;17.0;9.8;4.0;12.6;27.4;101.4;128.0;227;56;40.0;154;26;168.0;381;44;74.0;101;73;77.4;33.6;11.6;6.4;3.8;52.8;27.1;42.6;61.4;4.0;79;20.9;58.9;114.5;98.5;16.0;53.4;1.1;1.3;49.3;13.0;38.9;19.4;48.0;17.8;27.6;32.6;
KICKZ IBAM;4;800;308;86;38;124;34;28;10;52;82;269;200;77.0;21.5;9.5;31.0;8.5;7.0;2.5;13.0;20.5;67.3;71.0;147;48;29.0;95;31;100.0;242;41;79.0;120;66;79.5;35.5;13.0;6.8;3.3;53.0;28.4;42.7;67.7;2.0;75;15.4;47.6;102.1;105.4;-3.3;53.1;1.0;0.7;47.3;15.2;27.9;32.6;48.7;16.5;33.8;25.0;
Medipolis SC Jena;3;600;214;68;23;91;52;18;2;57;57;203;200;71.3;22.7;7.7;30.3;17.3;6.0;0.7;19.0;19.0;67.7;50.0;105;48;22.0;69;32;72.0;174;41;48.0;63;76;77.3;29.7;15.0;10.7;4.0;55.2;35.7;46.1;55.4;1.0;75;14.1;45.6;95.1;103.1;-8.0;53.7;1.0;0.9;47.7;22.2;27.1;27.6;54.4;18.6;28.4;20.0;
Niners Chemnitz Academy;2;400;156;45;13;58;32;9;4;36;34;144;200;78.0;22.5;6.5;29.0;16.0;4.5;2.0;18.0;17.0;72.0;46.0;74;62;13.0;39;33;59.0;113;52;25.0;50;50;98.5;42.0;21.0;13.5;3.5;65.4;22.0;49.7;75.9;0.0;79;15.3;36.6;99.4;125.5;-26.1;58.6;1.0;0.9;58.0;21.3;21.7;22.1;53.7;11.2;45.1;13.5;
Porsche BBA Ludwigsburg;5;1000;409;113;62;175;87;60;17;93;100;420;200;81.8;22.6;12.4;35.0;17.4;12.0;3.4;18.6;20.0;84.0;93.0;168;55;48.0;159;30;141.0;327;43;79.0;128;62;75.4;35.4;17.4;11.6;2.0;47.1;31.4;41.3;63.8;3.0;81;17.6;55.8;100.6;92.7;7.9;54.1;1.0;0.9;50.5;19.7;34.8;24.2;47.0;23.6;35.1;23.0;
Sartorius Juniors;3;600;215;59;32;91;33;25;10;71;66;178;200;71.7;19.7;10.7;30.3;11.0;8.3;3.3;23.7;22.0;59.3;47.0;88;53;23.0;77;30;70.0;165;42;52.0;82;63;78.0;31.7;13.0;13.7;3.3;60.3;22.2;46.9;72.1;1.0;76;12.6;38.2;94.2;102.5;-8.3;54.3;0.9;0.5;49.4;26.4;35.6;31.5;50.8;21.7;38.5;27.4;
Team Urspring;4;800;312;83;40;123;62;39;15;67;82;311;200;78.0;20.8;10.0;30.8;15.5;9.8;3.8;16.8;20.5;77.8;73.0;135;54;37.0;109;34;110.0;244;45;55.0;94;59;76.5;30.8;18.8;7.8;0.8;51.0;32.2;43.8;72.4;2.0;76;17.4;48.8;102.6;100.6;2.0;55.4;1.0;0.9;52.7;19.2;30.8;22.5;50.0;20.3;28.4;30.2;
Tornados Franken;3;600;216;73;37;110;51;38;5;69;57;202;200;72.0;24.3;12.3;36.7;17.0;12.7;1.7;23.0;19.0;67.3;57.0;131;44;20.0;68;29;77.0;199;39;42.0;69;61;81.0;36.3;17.7;11.0;4.3;52.6;33.0;42.5;60.9;1.0;82;13.1;41.3;87.3;98.2;-10.9;47.7;0.9;0.7;43.7;23.3;33.0;21.1;51.0;19.9;31.8;19.5;
UBC Münster;3;600;211;72;32;104;48;25;12;69;50;185;200;70.3;24.0;10.7;34.7;16.0;8.3;4.0;23.0;16.7;61.7;54.0;109;50;21.0;82;26;75.0;191;39;40.0;70;57;79.7;37.3;14.0;12.7;4.7;51.7;26.1;43.5;60.3;1.0;83;11.9;41.9;85.1;96.4;-11.3;48.2;0.9;0.7;44.8;24.0;30.2;20.9;47.7;18.3;34.5;16.4;
Young Rasta Dragons;8;1600;658;200;123;323;119;102;34;141;164;720;200;82.3;25.0;15.4;40.4;14.9;12.8;4.3;17.6;20.5;90.0;148.0;290;51;75.0;260;29;223.0;550;41;137.0;185;74;68.8;29.0;12.9;9.4;3.1;46.4;28.0;39.9;70.7;6.0;78;19.0;62.8;105.2;88.0;17.3;52.7;1.1;0.8;47.4;18.4;42.0;24.9;44.9;22.1;23.7;25.8;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
